SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-447527413,2/6/2017 6:08:32 PM,2/13/2017 6:55:51 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,N,GCS,2/10/2017 9:58:23 AM,,Y,N,"5401 W BARTON AVE, 90038",5401,W,BARTON,AVE,90038,34.0876688793,-118.309271438,"(34.0876688793, -118.309271438)",593,H,6,Central APC,13,Mitch O'Farrell,33,HOLLYWOOD STUDIO DISTRICT NC,HOLLYWOOD
1-416481013,1/6/2017 4:49:46 PM,1/8/2017 9:14:50 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,LACC,1/8/2017 9:13:45 PM,,Y,N,"2223 W JEFFERSON BLVD, 90018",2223,W,JEFFERSON,BLVD,90018,34.0256885007,-118.319681082,"(34.0256885007, -118.319681082)",633,G,7,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",SOUTHWEST
1-428334111,1/19/2017 11:00:45 AM,1/19/2017 11:00:45 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAP,1/18/2017 12:00:00 AM,,Y,"","934 N AVALON BLVD, 90744",934,N,AVALON,BLVD,90744,,,"",794,E,6,Harbor APC,15,Joe Buscaino,93,WILMINGTON NC,HARBOR
1-414379981,1/4/2017 7:57:28 PM,1/21/2017 4:47:55 PM,SR Created,OCB,Graffiti Removal,Closed,Self Service,"",Y,PGS,1/6/2017 7:20:05 AM,,Y,N,"VENICE BLVD AT GRAND VIEW BLVD, 90066",,"","","",90066,34.0049909769,-118.431343544,"(34.0049909769, -118.431343544)",672,C,4,West Los Angeles APC,11,Mike Bonin,67,MAR VISTA CC,PACIFIC
1-453072151,2/12/2017 1:15:13 PM,2/12/2017 3:27:54 PM,SR Created,ITA,Other,Cancelled,Mobile App,iOS,N,"",,,Y,N,"6136 W LEXINGTON AVE, 90038",6136,W,LEXINGTON,AVE,90038,34.0924305413,-118.323715121,"(34.0924305413, -118.323715121)",593,F,5,Central APC,13,Mitch O'Farrell,33,HOLLYWOOD STUDIO DISTRICT NC,HOLLYWOOD
1-447238981,2/6/2017 2:40:09 PM,2/10/2017 7:07:14 AM,SR Created,BOS,Electronic Waste,Closed,Self Service,"",N,NC,2/10/2017 12:00:00 AM,,Y,N,"2646 N BRONHOLLY DR, 90068",2646,N,BRONHOLLY,DR,90068,34.1190600023,-118.316906253,"(34.1190600023, -118.316906253)",593,G,2,Central APC,4,David Ryu,30,HOLLYWOOD UNITED NC,HOLLYWOOD
1-421698961,1/12/2017 10:17:40 AM,1/20/2017 2:59:20 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,"",N,HB,1/20/2017 12:00:00 AM,,Y,N,"935 W 10TH ST, 90731",935,W,10TH,ST,90731,33.7350417186,-118.297543996,"(33.7350417186, -118.297543996)",824,A,5,Harbor APC,15,Joe Buscaino,95,CENTRAL SAN PEDRO NC,HARBOR
1-427132611,1/18/2017 11:30:39 AM,1/18/2017 11:30:39 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,NDFY,1/5/2017 12:00:00 AM,,Y,"","5133 N WHITSETT AVE, 91607",5133,N,WHITSETT,AVE,91607,,,"",562,F,3,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD
1-419722751,1/10/2017 2:33:47 PM,1/10/2017 3:34:50 PM,SR Created,BOS,Bulky Items,Closed,Driver Self Report,"",Y,NC,1/13/2017 12:00:00 AM,,Y,N,"5019 W 2ND ST, 90004",5019,W,2ND,ST,90004,34.07120969,-118.324177249,"(34.07120969, -118.324177249)",633,F,1,Central APC,4,David Ryu,119,GREATER WILSHIRE NC,WILSHIRE
1-439978101,1/30/2017 4:57:51 PM,1/31/2017 9:27:05 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,SLA,1/31/2017 12:00:00 AM,,Y,N,"5342 S 7TH AVE, 90043",5342,S,7TH,AVE,90043,33.9937761124,-118.324608822,"(33.9937761124, -118.324608822)",673,F,5,South Los Angeles APC,8,Marqueece Harris-Dawson,80,PARK MESA HEIGHTS CC,77TH STREET
1-454184211,2/13/2017 2:10:43 PM,2/15/2017 8:08:02 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,SLA,2/15/2017 12:00:00 AM,,Y,N,"4044 S WOODLAWN AVE, 90011",4044,S,WOODLAWN,AVE,90011,34.0097203885,-118.272711341,"(34.0097203885, -118.272711341)",674,C,3,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON
1-431180071,1/23/2017 8:42:18 AM,1/27/2017 11:05:47 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Self Service,"",N,NC,1/27/2017 12:00:00 AM,,Y,N,"FRANKLIN AVE AT CANYON DR, 90028",,"","","",90028,34.1052511833,-118.316947136,"(34.1052511833, -118.316947136)",593,G,3,Central APC,13,Mitch O'Farrell,30,HOLLYWOOD UNITED NC,HOLLYWOOD
1-455859591,2/14/2017 6:40:19 PM,2/14/2017 6:40:19 PM,SR Created,OCB,Graffiti Removal,Open,Self Service,"",N,SGB,,,Y,N,"13010 N GLENOAKS BLVD, 91342",13010,N,GLENOAKS,BLVD,91342,34.3070071518,-118.44869331,"(34.3070071518, -118.44869331)",481,J,4,North Valley APC,7,Vacant,5,SYLMAR NC,MISSION
1-439720633,1/30/2017 3:08:10 PM,1/30/2017 4:08:45 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/6/2017 12:00:00 AM,,Y,"","6019 S VERMONT AVE, 90044",,S,VERMONT,AVE,90044,,,"",674,A,6,South Los Angeles APC,9,Curren D. Price Jr.,109,VOICES OF 90037,77TH STREET
1-415475011,1/5/2017 5:40:22 PM,1/5/2017 5:44:57 PM,SR Created,BOS,Bulky Items,Cancelled,Call,"",N,WLA,1/11/2017 12:00:00 AM,,Y,N,"3448 S SAWTELLE BLVD, 90066",3448,S,SAWTELLE,"",90066,34.0190192241,-118.42553792,"(34.0190192241, -118.42553792)",672,D,2,West Los Angeles APC,11,"",,MAR VISTA CC,""
1-448179741,2/7/2017 12:04:56 PM,2/8/2017 3:36:51 PM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,WLA,2/8/2017 12:00:00 AM,,Y,Y,"2437 S CORINTH AVE, 90064",2437,S,CORINTH,AVE,90064,34.0338211965,-118.43906173,"(34.0338211965, -118.43906173)",632,B,7,West Los Angeles APC,11,Mike Bonin,66,WEST LOS ANGELES NC,WEST LOS ANGELES
1-429716851,1/20/2017 11:28:27 AM,1/25/2017 7:25:06 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,WVA,1/25/2017 12:24:47 PM,,Y,N,"20600 W ROSCOE BLVD, 91306",20600,W,ROSCOE,BLVD,91306,34.2198576878,-118.581958606,"(34.2198576878, -118.581958606)",530,C,2,South Valley APC,3,Bob Blumenfield,14,WINNETKA NC,TOPANGA
1-435489465,1/26/2017 12:35:06 PM,1/26/2017 12:35:06 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/3/2017 12:00:00 AM,,Y,"","6108 S MAIN ST, 90003",6108,S,MAIN,ST,90003,,,"",674,C,6,South Los Angeles APC,9,Curren D. Price Jr.,86,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),NEWTON
1-437953011,1/29/2017 9:14:38 AM,1/29/2017 9:15:00 AM,SR Created,BOS,Bulky Items,Closed,Driver Self Report,"",Y,WLA,2/3/2017 12:00:00 AM,,Y,N,"2133 S CARMONA AVE, 90016",2133,S,CARMONA,AVE,90016,34.0380250595,-118.361969554,"(34.0380250595, -118.361969554)",633,B,6,South Los Angeles APC,10,Herb J. Wesson Jr.,73,MID CITY NC,WILSHIRE
1-422335741,1/12/2017 4:34:51 PM,1/13/2017 3:12:06 PM,SR Created,BOS,Electronic Waste,Closed,Call,"",Y,EV,1/13/2017 12:00:00 AM,,Y,N,"14575 W DYER ST, 91342",14575,W,DYER,ST,91342,34.2982013164,-118.449283465,"(34.2982013164, -118.449283465)",481,J,5,North Valley APC,7,Vacant,5,SYLMAR NC,MISSION
1-432031081,1/23/2017 3:19:03 PM,1/24/2017 10:32:31 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,SLA,1/24/2017 12:00:00 AM,,Y,"","1132 W BROWNING BLVD, 90037",1132,W,BROWNING,BLVD,90037,34.0119774855,-118.295373953,"(34.0119774855, -118.295373953)",674,A,2,South Los Angeles APC,8,Marqueece Harris-Dawson,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST
1-453111841,2/12/2017 2:07:58 PM,2/12/2017 2:07:58 PM,SR Created,OCB,Graffiti Removal,Open,Self Service,"",Y,KYCC,,,Y,N,"2137 W VENICE BLVD, 90006",2137,W,VENICE,BLVD,90006,34.04371393,-118.303903733,"(34.04371393, -118.303903733)",633,J,5,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",OLYMPIC
1-451786811,2/10/2017 10:19:22 AM,2/13/2017 8:10:01 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,"",N,WV,2/13/2017 12:00:00 AM,,Y,N,"19500 W STAGG ST, 91335",19500,W,STAGG,ST,91335,34.2112045589,-118.558265593,"(34.2112045589, -118.558265593)",530,F,3,South Valley APC,3,Bob Blumenfield,15,RESEDA NC,WEST VALLEY
1-448718224,2/7/2017 5:03:54 PM,2/7/2017 5:03:55 PM,SR Created,BSL,Single Streetlight Issue,Open,Mobile App,iOS,N,EAST,,,Y,"","2023 N MICHELTORENA ST, 90039",2023,N,MICHELTORENA,ST,90039,34.09762126,-118.27041482,"(34.09762126, -118.27041482)",594,C,4,East Los Angeles APC,4,David Ryu,38,SILVER LAKE NC,NORTHEAST
1-450635921,2/9/2017 11:10:51 AM,2/9/2017 11:10:51 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/26/2017 12:00:00 AM,,Y,"","3216 S BROADWAY, 90007",3216,S,BROADWAY,"",90007,,,"",674,C,1,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
1-439487931,1/30/2017 1:38:28 PM,1/31/2017 6:33:17 PM,SR Created,BOS,Metal/Household Appliances,Closed,Call,"",Y,WV,1/31/2017 12:00:00 AM,,Y,N,"21834 W NAPA ST, 91304",21834,W,NAPA,ST,91304,34.2256232136,-118.604172214,"(34.2256232136, -118.604172214)",530,A,1,North Valley APC,3,Bob Blumenfield,13,CANOGA PARK NC,TOPANGA
1-411063441,1/1/2017 4:43:54 AM,1/5/2017 11:12:51 AM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,NC,1/5/2017 12:00:00 AM,,Y,N,"2322 N RIVERDALE AVE, 90031",2322,N,RIVERDALE,AVE,90031,34.0907744314,-118.234873706,"(34.0907744314, -118.234873706)",594,H,5,East Los Angeles APC,13,Mitch O'Farrell,43,ELYSIAN VALLEY RIVERSIDE NC,NORTHEAST
1-440956541,1/31/2017 12:50:55 PM,1/31/2017 12:50:55 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAP,1/24/2017 12:00:00 AM,,Y,"","1302 E CRUCES ST, 90744",1302,E,CRUCES,ST,90744,,,"",794,G,4,Harbor APC,15,Joe Buscaino,93,WILMINGTON NC,HARBOR
1-420740681,1/11/2017 12:23:16 PM,1/11/2017 12:28:23 PM,SR Created,BOS,Bulky Items,Closed,Call,"",Y,EV,1/13/2017 12:00:00 AM,,Y,N,"14777 POLK ST, 91342",14777,"",POLK,ST,91342,34.3030737729,-118.454960916,"(34.3030737729, -118.454960916)",481,J,4,North Valley APC,7,Vacant,5,SYLMAR NC,MISSION
1-414589799,1/5/2017 9:04:22 AM,1/5/2017 9:04:22 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAP,1/4/2017 12:00:00 AM,,Y,"","229 W G ST, 90744",229,W,G,ST,90744,,,"",794,E,6,Harbor APC,15,Joe Buscaino,93,WILMINGTON NC,HARBOR
1-423657721,1/14/2017 11:52:10 AM,1/19/2017 4:39:24 PM,SR Created,BOS,Electronic Waste,Closed,Mobile App,Android,N,NC,1/19/2017 12:00:00 AM,,Y,"","221 S KENMORE AVE, 90004",221,S,KENMORE,AVE,90004,34.0705580284,-118.296852605,"(34.0705580284, -118.296852605)",633,J,1,Central APC,13,Mitch O'Farrell,55,WILSHIRE CENTER - KOREATOWN NC,OLYMPIC
1-452615751,2/11/2017 9:22:57 AM,2/11/2017 9:22:57 AM,SR Created,OCB,Graffiti Removal,Open,Self Service,"",N,GAPBH,,,Y,N,"3742 E WHITTIER BLVD, 90023",3742,E,WHITTIER,BLVD,90023,34.023860067,-118.192602694,"(34.023860067, -118.192602694)",635,D,7,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK
1-417828834,1/9/2017 10:10:45 AM,1/9/2017 10:10:45 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,LACC,1/6/2017 12:00:00 AM,,Y,"","2300 S GARTH AV, 90034",2300,S,GARTH,AV,90034,,,"",632,J,6,South Los Angeles APC,10,Herb J. Wesson Jr.,61,SOUTH ROBERTSON NC,WEST LOS ANGELES
1-438653501,1/30/2017 7:51:39 AM,2/6/2017 11:29:49 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,Y,NC,2/6/2017 12:00:00 AM,,Y,"","GANAHL ST AT EVERGREEN AVE, 90063",,"","","",90063,34.0519842175,-118.19583893,"(34.0519842175, -118.19583893)",635,C,4,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK
1-411272561,1/2/2017 3:11:31 AM,1/6/2017 3:30:09 PM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,WLA,1/6/2017 12:00:00 AM,,Y,N,"960 N ALFRED ST, 90069",960,N,ALFRED,ST,90069,34.0885951216,-118.375193817,"(34.0885951216, -118.375193817)",592,J,6,Central APC,5,Paul Koretz,58,MID CITY WEST CC,WILSHIRE
1-429430218,1/20/2017 8:32:21 AM,1/20/2017 8:32:21 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/27/2016 12:00:00 AM,,Y,"","800 W 48TH ST, 90037",800,W,48TH,ST,90037,,,"",674,B,4,South Los Angeles APC,9,Curren D. Price Jr.,109,VOICES OF 90037,77TH STREET
1-437055051,1/27/2017 4:00:08 PM,2/3/2017 2:27:18 PM,SR Created,BOS,Bulky Items,Closed,Call,"",Y,WLA,2/3/2017 12:00:00 AM,,Y,N,"10931 W ROSE AVE, 90034",10931,W,ROSE,AVE,90034,34.0237794965,-118.419549383,"(34.0237794965, -118.419549383)",672,D,1,West Los Angeles APC,5,Paul Koretz,67,MAR VISTA CC,PACIFIC
1-453953201,2/13/2017 12:23:16 PM,2/13/2017 12:23:17 PM,SR Created,BOS,Bulky Items,Open,Mobile App,iOS,N,EV,2/16/2017 12:00:00 AM,,Y,"","8850 N VAN NUYS BLVD, 91402",8850,N,VAN NUYS,BLVD,91402,34.231409706,-118.450097629,"(34.231409706, -118.450097629)",502,A,7,North Valley APC,6,Nury Martinez,100,PANORAMA CITY NC,MISSION
1-438158381,1/29/2017 1:51:53 PM,1/30/2017 8:09:46 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,SLA,1/30/2017 12:00:00 AM,,Y,N,"1657 S CIMARRON ST, 90019",1657,S,CIMARRON,ST,90019,34.0425069006,-118.315604057,"(34.0425069006, -118.315604057)",633,G,5,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",OLYMPIC
1-415317623,1/5/2017 3:18:53 PM,1/5/2017 3:18:53 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/7/2016 12:00:00 AM,,Y,"","5200 S MAIN ST, 90037",5200,S,MAIN,ST,90037,,,"",674,C,5,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON
1-423411221,1/13/2017 4:42:36 PM,1/16/2017 3:08:24 PM,SR Created,BOS,Electronic Waste,Closed,Call,"",N,SLA,1/16/2017 12:00:00 AM,,Y,N,"1822 W 25TH ST, 90018",1822,W,25TH,ST,90018,34.0334629789,-118.303916283,"(34.0334629789, -118.303916283)",633,J,6,South Los Angeles APC,8,Marqueece Harris-Dawson,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST
1-414697686,1/5/2017 10:04:01 AM,1/5/2017 10:04:01 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAPBH,1/4/2017 12:00:00 AM,,Y,"","1500 S PALOMA ST, 90021",1500,S,PALOMA,ST,90021,,,"",634,F,7,Central APC,14,Jose Huizar,52,DOWNTOWN LOS ANGELES,NEWTON
1-426259561,1/17/2017 2:54:44 PM,1/23/2017 9:08:41 AM,SR Created,BOS,Metal/Household Appliances,Closed,Self Service,"",N,NC,1/23/2017 12:00:00 AM,,Y,N,"4444 N LOWELL AVE, 90032",4444,N,LOWELL,AVE,90032,34.0974065708,-118.162450379,"(34.0974065708, -118.162450379)",595,G,4,East Los Angeles APC,14,Jose Huizar,48,LA-32 NC,HOLLENBECK
1-426867011,1/18/2017 9:35:31 AM,1/18/2017 9:35:31 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/17/2016 12:00:00 AM,,Y,"","5300 S GRAND AVE, 90037",5300,S,GRAND,AVE,90037,,,"",674,C,5,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON
1-417615351,1/9/2017 8:27:11 AM,1/25/2017 5:33:44 PM,SR Created,OCB,Graffiti Removal,Closed,Call,"",N,CCAC,1/10/2017 2:44:26 PM,,Y,N,"3RD ST AT CORONADO ST, 90057",,"","","",90057,34.0656204736,-118.278089678,"(34.0656204736, -118.278089678)",634,C,2,Central APC,13,Mitch O'Farrell,44,GREATER ECHO PARK ELYSIAN NC,RAMPART
1-446781137,2/6/2017 10:58:59 AM,2/13/2017 8:40:16 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,N,HBT,2/8/2017 8:39:08 AM,,Y,N,"5326 W SUNSET BLVD, 90027",5326,W,SUNSET,BLVD,90027,34.0979325292,-118.306628596,"(34.0979325292, -118.306628596)",593,H,4,Central APC,13,Mitch O'Farrell,34,EAST HOLLYWOOD NC,HOLLYWOOD
1-412445024,1/3/2017 12:32:00 PM,1/3/2017 12:35:41 PM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,GAPBH,12/27/2016 12:00:00 AM,,Y,"","900 N EVERGREEN AVE, 90033",,N,EVERGREEN,AVE,90033,,,"",635,C,4,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK
1-450457541,2/9/2017 9:47:31 AM,2/9/2017 9:47:31 AM,SR Created,BOS,Electronic Waste,Open,Call,"",N,SLA,2/16/2017 12:00:00 AM,,Y,N,"9141 S MENLO AVE, 90044",9141,S,MENLO,AVE,90044,33.953044526,-118.290687822,"(33.953044526, -118.290687822)",704,A,3,South Los Angeles APC,8,Marqueece Harris-Dawson,87,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,SOUTHEAST
1-413991431,1/4/2017 2:01:54 PM,1/21/2017 7:25:44 PM,SR Created,OCB,Graffiti Removal,Closed,Call,"",Y,PGS,1/5/2017 7:24:50 AM,,Y,N,"6300 W SAN VICENTE BLVD, 90048",6300,W,SAN VICENTE,BLVD,90048,34.0606734492,-118.367373994,"(34.0606734492, -118.367373994)",633,A,3,Central APC,5,Paul Koretz,58,MID CITY WEST CC,WILSHIRE
1-427716271,1/18/2017 4:04:27 PM,1/24/2017 9:01:20 AM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,SLA,1/24/2017 12:00:00 AM,,Y,Y,"3784 S WISCONSIN ST, 90007",3784,S,WISCONSIN,ST,90007,34.0175826728,-118.292997467,"(34.0175826728, -118.292997467)",674,A,1,South Los Angeles APC,8,Marqueece Harris-Dawson,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST
1-450427508,2/9/2017 9:32:23 AM,2/9/2017 9:32:23 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,1/18/2017 12:00:00 AM,,Y,"","502 E MANCHESTER AVE, 90003",502,E,MANCHESTER,AVE,90003,,,"",704,D,2,South Los Angeles APC,9,Curren D. Price Jr.,87,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,SOUTHEAST
1-428317441,1/19/2017 10:51:09 AM,1/19/2017 10:51:09 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,KYCC,12/28/2016 12:00:00 AM,,Y,"","1876 S BUCKINGHAM ROAD, 90019",1876,S,BUCKINGHAM,ROAD,90019,,,"",633,E,5,South Los Angeles APC,10,Herb J. Wesson Jr.,73,MID CITY NC,WILSHIRE
1-451812071,2/10/2017 10:27:50 AM,2/10/2017 10:27:50 AM,SR Created,BOS,Illegal Dumping Pickup,Open,Call,"",N,WV,2/17/2017 12:00:00 AM,,Y,N,"8245 N REMMET AVE, 91304",8245,N,REMMET,AVE,91304,34.2188945991,-118.600454175,"(34.2188945991, -118.600454175)",530,A,2,South Valley APC,3,Bob Blumenfield,13,CANOGA PARK NC,TOPANGA
1-456106591,2/15/2017 8:47:00 AM,2/15/2017 8:47:00 AM,SR Created,BOS,Bulky Items,Open,Call,"",N,NC,2/20/2017 12:00:00 AM,,Y,N,"1912 E DARWIN AVE, 90031",1912,E,DARWIN,AVE,90031,34.0673337085,-118.218967196,"(34.0673337085, -118.218967196)",634,J,1,East Los Angeles APC,1,Gilbert Cedillo,47,LINCOLN HEIGHTS NC,HOLLENBECK
1-430451162,1/21/2017 11:47:14 AM,1/26/2017 9:29:27 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,SLA,1/26/2017 12:00:00 AM,,Y,"","1850 W 96TH ST, 90047",1850,W,96TH,ST,90047,33.9489557947,-118.310519504,"(33.9489557947, -118.310519504)",703,H,4,South Los Angeles APC,8,Marqueece Harris-Dawson,84,EMPOWERMENT CONGRESS SOUTHWEST AREA NDC,77TH STREET
1-437524481,1/28/2017 11:59:05 AM,1/28/2017 11:59:39 AM,SR Created,BOS,Bulky Items,Closed,Driver Self Report,"",Y,WV,2/2/2017 12:00:00 AM,,Y,N,"18217 W WELBY WAY, 91335",18217,W,WELBY,WAY,91335,34.1930514444,-118.530558237,"(34.1930514444, -118.530558237)",530,J,6,South Valley APC,3,Bob Blumenfield,15,RESEDA NC,WEST VALLEY
1-413269489,1/4/2017 8:26:31 AM,1/4/2017 8:26:31 AM,SR Created,OCB,Graffiti Removal,Closed,Driver Self Report,"",N,SLABT,12/3/2016 12:00:00 AM,,Y,"","2400 S CENTRAL AV, 90011",2400,S,CENTRAL,AV,90011,,,"",674,E,1,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON
1-451664831,2/10/2017 9:12:55 AM,2/10/2017 9:12:55 AM,SR Created,OCB,Graffiti Removal,Open,Self Service,"",N,KYCC,,,Y,N,"WILTON PL AT WASHINGTON BLVD, 90018",,"","","",90018,34.0399102838,-118.314486805,"(34.0399102838, -118.314486805)",633,H,5,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",OLYMPIC
1-441798331,2/1/2017 6:56:30 AM,2/1/2017 6:57:13 AM,SR Created,BOS,Bulky Items,Closed,Driver Self Report,"",Y,EV,2/3/2017 12:00:00 AM,,Y,N,"10970 N ONEIDA AVE, 91331",10970,N,ONEIDA,AVE,91331,34.2694380311,-118.435907289,"(34.2694380311, -118.435907289)",502,B,2,North Valley APC,7,Vacant,7,PACOIMA NC,FOOTHILL
1-449153071,2/8/2017 9:47:21 AM,2/14/2017 9:07:37 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,SLA,2/14/2017 12:00:00 AM,,Y,N,"11TH AVE AT VERNON AVE, 90043",,"","","",90043,34.0036346319,-118.329381425,"(34.0036346319, -118.329381425)",673,F,3,South Los Angeles APC,8,Marqueece Harris-Dawson,80,PARK MESA HEIGHTS CC,SOUTHWEST
1-433410771,1/24/2017 4:14:02 PM,1/30/2017 3:20:29 PM,SR Created,BOS,Bulky Items,Closed,Call,"",N,EV,1/30/2017 12:00:00 AM,,Y,N,"13601 N GLENOAKS BLVD, 91342",13601,N,GLENOAKS,BLVD,91342,34.3188707471,-118.464744936,"(34.3188707471, -118.464744936)",481,H,2,North Valley APC,7,Vacant,5,SYLMAR NC,MISSION
1-422448981,1/12/2017 9:54:15 PM,1/18/2017 3:07:18 PM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,EV,1/18/2017 12:00:00 AM,,Y,N,"11835 W KLING ST, 91607",11835,W,KLING,ST,91607,34.155917553,-118.391112163,"(34.155917553, -118.391112163)",562,G,4,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD
1-432905701,1/24/2017 12:13:10 PM,1/27/2017 9:22:56 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,NC,1/27/2017 12:00:00 AM,,Y,N,"1155 S KENISTON AVE, 90019",1155,S,KENISTON,AVE,90019,34.0541425433,-118.337515376,"(34.0541425433, -118.337515376)",633,E,4,Central APC,10,Herb J. Wesson Jr.,104,OLYMPIC PARK NC,WILSHIRE
1-412816511,1/3/2017 3:05:22 PM,1/4/2017 11:49:32 AM,SR Created,BOS,Bulky Items,Closed,Call,"",N,WV,1/4/2017 12:00:00 AM,,Y,N,"20116 W VINTAGE ST, 91311",20116,W,VINTAGE,ST,91311,34.2517168365,-118.571800979,"(34.2517168365, -118.571800979)",500,E,5,North Valley APC,12,Mitchell Englander,99,CHATSWORTH NC,DEVONSHIRE
1-411220740,1/1/2017 7:07:06 PM,1/4/2017 8:50:03 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,NEGB_ELA,1/4/2017 8:49:56 PM,,Y,N,"800 W AVENUE 37, 90065",800,W,AVENUE 37,"",90065,34.0956011886,-118.218007216,"(34.0956011886, -118.218007216)",594,J,5,East Los Angeles APC,1,Gilbert Cedillo,42,ARROYO SECO NC,NORTHEAST
1-418123961,1/9/2017 12:17:46 PM,1/11/2017 1:57:43 PM,SR Created,BOS,Bulky Items,Closed,Self Service,"",N,NC,1/11/2017 12:00:00 AM,,Y,N,"801 N EAST KENSINGTON ROAD, 90026",801,N,EAST KENSINGTON,ROAD,90026,34.0708709062,-118.251917005,"(34.0708709062, -118.251917005)",634,F,1,East Los Angeles APC,1,Gilbert Cedillo,44,GREATER ECHO PARK ELYSIAN NC,RAMPART
